scenario,baseline_coverage_%,baseline_MAE_m,baseline_RMSE_m,baseline_relative_error,baseline_accuracy_10cm_%,baseline_accuracy_25cm_%,CARE_coverage_%,CARE_MAE_m,CARE_RMSE_m,CARE_relative_error,CARE_accuracy_10cm_%,CARE_accuracy_25cm_%,mean_reliability
normal,77.81640625,0.31325677,0.8268249,0.05530765,45.506835332898284,58.908521995214436,77.81640625,0.31325677,0.8268249,0.05530765,45.506835332898284,58.908521995214436,0.31397954
low_texture,77.87923177083333,0.31854394,0.839568,0.056523025,45.46301908085854,58.80875253401325,78.15299479166666,0.95443535,1.1881361,0.15616873,0.311971543530235,1.0896095565755604,0.31873903
illumination_change,77.69986979166667,0.31376153,0.8177648,0.055365376,45.49129848257602,58.612700780078264,78.10384114583333,0.32220402,0.83148056,0.057573974,45.1022151832788,58.11448934086315,0.31745622
sensor_noise,77.80045572916666,0.29540268,0.8137672,0.052279677,46.45004456011013,66.71464374924165,78.03515625,0.30748677,0.81636775,0.055182535,45.599939930920556,64.44911648395654,0.33598605
moving_pedestrian,77.7705078125,0.31213698,0.825984,0.055609893,45.71283867214151,59.09062370506172,78.09375,0.3097997,0.8134455,0.055094115,45.57156195811658,59.06487595038015,0.30243742
combined,77.94401041666667,0.29984576,0.8236283,0.053343773,46.18783515143415,66.30903259217187,78.20735677083334,0.30466962,0.81501895,0.054808825,45.68350863464764,65.32363799827682,0.3433333
