scenario,baseline_MAE_m,CARE_MAE_m,baseline_RMSE_m,CARE_RMSE_m,baseline_relative_error,CARE_relative_error,baseline_accuracy_10cm_%,CARE_accuracy_10cm_%,baseline_accuracy_25cm_%,CARE_accuracy_25cm_%,baseline_coverage_%,CARE_coverage_%
normal,0.3212003,0.32810214,0.8428097,0.859259,0.05714146,0.05871419,45.67158947495027,45.50981868591832,58.4522891841887,58.265005877188585,77.74492187500002,77.99837239583333
low_texture,0.33002877,0.33915597,0.8720908,0.8920065,0.058983456,0.061068065,45.51025569702449,45.309171053190546,58.190423981219965,57.95113212502313,77.88723958333333,78.21868489583333
illumination_change,0.3255458,0.33178213,0.84216404,0.85527694,0.05721596,0.05881808,45.66373407411151,45.49776072253361,58.333464411235454,58.148860162928614,77.68274739583333,77.94388020833334
sensor_noise,0.28960437,0.29328543,0.8179571,0.82585937,0.051590174,0.05251084,46.66495913817322,46.58279836068503,72.50194553606059,72.37813532904389,77.8439453125,77.98815104166667
moving_pedestrian,0.31870615,0.3245106,0.83822346,0.85101587,0.056572087,0.05802127,45.80727559787721,45.65783401475448,58.51322920242451,58.34181453596201,77.78567708333333,78.02669270833333
combined,0.2925911,0.2971433,0.8185271,0.8277277,0.051867705,0.053044878,46.42839591491055,46.318815051684425,70.30774574509303,70.14678145924535,77.8283203125,78.0181640625
