scenario,baseline_MAE_m,CARE_MAE_m,baseline_RMSE_m,CARE_RMSE_m,baseline_relative_error,CARE_relative_error,baseline_accuracy_10cm_%,CARE_accuracy_10cm_%,baseline_accuracy_25cm_%,CARE_accuracy_25cm_%,baseline_coverage_%,CARE_coverage_%
normal,0.3212003,0.32804176,0.8428097,0.8549824,0.05714146,0.058600448,45.67158947495027,45.3724982825654,58.4522891841887,58.13017699452716,77.74492187500002,77.99837239583333
low_texture,0.33002877,0.33853358,0.8720908,0.88477457,0.058983456,0.060816795,45.51025569702449,45.15117975545543,58.190423981219965,57.79346051037221,77.88723958333333,78.21868489583333
illumination_change,0.3255458,0.3318173,0.84216404,0.8503917,0.05721596,0.058753937,45.66373407411151,45.33662902294028,58.333464411235454,58.01576370993282,77.68274739583333,77.94388020833334
sensor_noise,0.28960437,0.29314318,0.8179571,0.82402325,0.051590174,0.052449454,46.66495913817322,46.50136515525795,72.50194553606059,72.33875732224253,77.8439453125,77.98815104166667
moving_pedestrian,0.31870615,0.32414597,0.83822346,0.84637153,0.056572087,0.057861697,45.80727559787721,45.52905899433155,58.51322920242451,58.224028268972766,77.78567708333333,78.02669270833333
combined,0.2925911,0.29687077,0.8185271,0.8247839,0.051867705,0.052953165,46.42839591491055,46.2260764844731,70.30774574509303,70.06772307840328,77.8283203125,78.0181640625
